actor_count	actors	category	cover_url	id	is_playable	is_watched	rank	rating	regions	release_date	score	title	types	url	vote_count
7	[热雷米·勒尼埃, 露易丝·莫诺特, 布鲁诺·托德契尼, 尼古拉斯·高布, 夏洛特·德·特汉姆, 弗兰南·欧比, 米罗斯拉夫·科塞夫]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1716549482.jpg	1946786	False	False	19	[8.5, 45]	[法国]	2005-03-07	8.5	隐藏的恋情	[剧情, 爱情, 战争, 同性]	https://movie.douban.com/subject/1946786/	6096
4	[John Quentin, 尼吉尔·特瑞, 德里克·贾曼, 蒂尔达·斯文顿]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2042159740.jpg	1417428	False	False	20	[8.5, 45]	[英国, 日本]	1993-10-03	8.5	蓝	[剧情, 传记, 同性]	https://movie.douban.com/subject/1417428/	4502
9	[科林·费尔斯, 朱丽安·摩尔, 尼古拉斯·霍尔特, 马修·古迪, 金妮弗·古德温, 芮安·辛普金斯, 李·佩斯, 洪·科塔哈雷纳, 伊莉莎白·哈诺伊斯]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p468904919.jpg	3275168	False	False	21	[8.4, 45]	[美国]	2009-12-11	8.4	单身男子	[剧情, 同性]	https://movie.douban.com/subject/3275168/	65948
16	[伊万·麦克格雷格, 乔纳森·莱斯·梅耶斯, 克里斯蒂安·贝尔, 托妮·科莱特, 艾迪·伊扎德, Emily Woof, 迈克尔·菲斯特, 珍妮·麦克蒂尔, Mairead McKinley, Luke Morgan Oliver, Osheen Jones, Micko Westmoreland, Damian Suchet, Danny Nutt, 沃什·韦斯特摩兰, 布莱恩·莫尔克]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p580624079.jpg	1294136	False	False	22	[8.4, 45]	[英国, 美国]	1998-11-06	8.4	天鹅绒金矿	[剧情, 同性, 音乐]	https://movie.douban.com/subject/1294136/	42460
13	[朱迪·丹奇, 史蒂夫·库根, 苏菲·肯尼迪·克拉克, 梅尔·温宁汉姆, 芭芭拉·杰夫德, 鲁斯·麦克卡比, 皮特·赫尔曼, 肖恩·马洪, 安娜·麦克西维尔·马丁, 米歇尔·费尔利, 乌米·马萨库, 夏莉·墨菲, 凯特·弗利特伍德]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2119792764.jpg	19973780	True	False	23	[8.4, 45]	[英国, 美国, 法国]	2013-08-31	8.4	菲洛梅娜	[剧情, 传记, 同性, 家庭]	https://movie.douban.com/subject/19973780/	18527
19	[瑞切尔·布莱克, 萨曼莎·邦德, 斯图尔特·邦斯, 鲁珀特·格雷夫斯, 约翰尼·哈里斯, 戴维·里昂, 詹姆斯·维尔拜, 卢克·崔德威, 约瑟夫·马勒, 保罗·尼科尔斯, 汤姆·比尔德, James Bellamy, Robin Berry, Philip Childs, Jason Frederick, Richard Freeman, 斯蒂芬·哈根, 杰佛逊·豪尔, Francis Lee]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2411719633.jpg	2238297	False	False	24	[8.4, 45]	[英国]	2007-07-22	8.4	迷情站台	[剧情, 同性]	https://movie.douban.com/subject/2238297/	7009
3	[潘丽丽, 莫子仪, 唐振刚]	同性	https://img3.doubanio.com/lpic/s3142590.jpg	3113588	False	False	25	[8.4, 45]	[台湾]	2008-06-08	8.4	艾草	[剧情, 同性, 家庭]	https://movie.douban.com/subject/3113588/	5109
12	[生田斗真, 桐谷健太, 柿原玲佳, 米姆拉, 小池荣子, 门胁麦, 田中美佐子, 柏原收史, 高桥枫翔, 品川彻, 江口德子, 込江海翔]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2385400300.jpg	26754513	False	False	26	[8.4, 45]	[日本]	2017-02-10	8.4	人生密密缝	[剧情, 同性, 家庭]	https://movie.douban.com/subject/26754513/	3692
14	[陈柏霖, 桂纶镁, 梁又琳, 仇政, 明金成, 林贤能, 黄江丰, 是元介, 姚元浩, 游智炜, 翁桂邦, 夏绍虞, 陈梦萱, 1976 (乐团)]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p584822570.jpg	1308575	False	False	27	[8.3, 45]	[台湾, 法国]	2002-09-27	8.3	蓝色大门	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1308575/	263905
10	[维特维斯特·海伦亚沃恩酷, 马里奥·毛瑞尔, 赖拉·邦雅淑, 坎雅·拉坦娜佩琦, 辛扎伊·本班尼, 松希·努诺卡空希, 姘潘·布拉娜嫔, 吉拉育·拉翁马尼, 阿缇·尼永库, 查妮达·彭西皮帕特]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p1024585648.jpg	2365260	True	False	28	[8.3, 45]	[泰国]	2007-11-22	8.3	爱在暹罗	[剧情, 爱情, 同性, 家庭]	https://movie.douban.com/subject/2365260/	212115
11	[阿黛尔·艾克萨勒霍布洛斯, 蕾雅·赛杜, 沙利姆·克齐欧彻, 热雷米·拉厄尔特, 卡特琳·萨雷, 奥雷利安·雷克因, 莫娜·瓦尔拉芬斯·, 阿尔玛·佐杜洛夫斯基, 安娜·卢瓦雷, 本杰明·思科索, 桑德尔·丰泰克]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2162563238.jpg	10535568	False	False	29	[8.3, 45]	[法国, 比利时, 西班牙, 突尼斯]	2013-05-23	8.3	阿黛尔的生活	[剧情, 爱情, 同性]	https://movie.douban.com/subject/10535568/	98100
8	[袁咏仪, 张国荣, 刘嘉玲, 陈小春, 曾志伟, 罗家英, 林晓峰, 郑丹瑞]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2167118411.jpg	1303376	False	False	30	[8.3, 45]	[香港]	1994-07-23	8.3	金枝玉叶	[喜剧, 爱情, 同性]	https://movie.douban.com/subject/1303376/	44297
7	[西恩·潘, 乔什·布洛林, 詹姆斯·弗兰科, 迭戈·卢纳, 埃米尔·赫施, 艾丽森·皮尔, 丹尼斯·欧哈拉]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2434259081.jpg	2336737	True	False	31	[8.3, 45]	[美国]	2008-11-26	8.3	米尔克	[剧情, 传记, 同性]	https://movie.douban.com/subject/2336737/	41949
10	[马克·鲁弗洛, 马特·波莫, 吉姆·帕森斯, 乔纳森·格罗夫, 朱莉娅·罗伯茨, 阿尔弗雷德·莫里纳, 泰勒·克奇, 丹尼斯·欧哈拉, 乔·曼特罗, 芬·维特洛克]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2180543688.jpg	6776051	True	False	32	[8.3, 45]	[美国]	2014-05-25	8.3	平常的心	[剧情, 历史, 同性]	https://movie.douban.com/subject/6776051/	36000
16	[本·施耐泽, 乔治·麦凯, 帕迪·康斯戴恩, 艾美达·斯丹顿, 比尔·奈伊, 莫妮卡·杜兰, 多米尼克·威斯特, 安德鲁·斯科特, 约瑟夫·吉尔根, 菲伊·马赛, 弗莱迪·福克斯, 乔舒亚·希尔, 卡瑞娜·费尔南德斯, 利兹·怀特, 索菲亚·埃文斯, 拉塞尔·托维]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2218469416.jpg	25740192	False	False	33	[8.3, 45]	[英国]	2014-05-23	8.3	骄傲	[剧情, 喜剧, 历史, 同性]	https://movie.douban.com/subject/25740192/	17296
5	[麦努威·维古诺, 马特奥·基亚里诺, Luz Palazon, Antonia De Michelis, Manuel Martínez Sobrado]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2164658075.jpg	20256636	False	False	34	[8.3, 45]	[阿根廷]	2013-04-13	8.3	夏威夷	[剧情, 同性]	https://movie.douban.com/subject/20256636/	7525
3	[Tatiana Astengo, Manolo Cardona, Cristian Mercado]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1072403855.jpg	4270672	False	False	35	[8.3, 45]	[秘鲁, 哥伦比亚, 法国, 德国]	2010-08-26	8.3	心底的逆流	[剧情, 同性]	https://movie.douban.com/subject/4270672/	6114
5	[约翰·赫特, 丹尼斯·欧哈拉, 乔纳森·塔克, 辛西娅·尼克松, Swoosie Kurtz]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2170327940.jpg	3607877	False	False	36	[8.3, 45]	[英国]	2009	8.3	英国人在纽约	[剧情, 同性]	https://movie.douban.com/subject/3607877/	4002
3	[Francis Lacombrade, 迪戴·豪德品, François Leccia]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1327975191.jpg	1866433	False	False	37	[8.3, 45]	[法国]	1964-09-04	8.3	特殊的友情	[剧情, 同性]	https://movie.douban.com/subject/1866433/	1987
3	[德克·博加德, 西尔维亚·西姆斯, 皮特·麦克恩里]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2207094228.jpg	1302493	False	False	38	[8.3, 45]	[英国]	1961-10-11	8.3	受害者	[剧情, 同性, 犯罪]	https://movie.douban.com/subject/1302493/	325
9	[凯特·布兰切特, 鲁妮·玛拉, 凯尔·钱德勒, 杰克·莱西, 莎拉·保罗森, 约翰·马加罗, 科里·迈克尔·史密斯, 凯文·克劳利, 凯瑞·布朗斯腾]	同性	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2312679154.jpg	10757577	False	False	39	[8.2, 40]	[英国, 美国]	2015-05-17	8.2	卡罗尔	[剧情, 爱情, 同性]	https://movie.douban.com/subject/10757577/	123485
15	[瑞凡·菲尼克斯, 基努·里维斯, 詹姆斯·拉索, William Richert, Rodney Harvey, 切瑞拉·凯瑟莉, Michael Parker, Jessie Thomas, 弗利, 格蕾丝·扎布里斯基, 汤姆·特鲁普, 乌多·基尔, Sally Curtice, 罗伯特·李·皮彻林恩, Mickey Cottrell]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2211552415.jpg	1292792	False	False	40	[8.2, 40]	[美国]	1991-09-12	8.2	我自己的爱达荷	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1292792/	33762
8	[刘嘉玲, 杨采妮, 归亚蕾, 李绮虹, 赵文瑄, 钱嘉乐, 董玮, 杨雪仪]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1072049466.jpg	1304648	False	False	41	[8.2, 45]	[香港]	1997-10-23	8.2	自梳	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1304648/	25227
6	[盖尔·加西亚·贝纳尔, 费莱·马丁内斯, 丹尼尔·希梅内斯·卡乔, 路易斯·奥马, Francisco Maestre, 弗郎西斯科·博伊拉]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1910921856.jpg	1291878	True	False	42	[8.2, 45]	[西班牙]	2004-09-16	8.2	不良教育	[剧情, 犯罪, 悬疑, 惊悚, 同性]	https://movie.douban.com/subject/1291878/	22564
10	[吉列尔梅·路宝, 法比欧·奥迪, 苔丝·阿莫林, 塞尔玛·爱格雷, 卢塞·德·索萨, 维克多·菲尔盖拉斯, 伊莎贝拉·瓜斯科, 朱利奥·马查多, 纳鲁纳·科斯塔, 露西亚·罗马诺]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2189595424.jpg	20441632	True	False	43	[8.2, 40]	[巴西]	2014-02-11	8.2	爱，简单	[剧情, 爱情, 同性]	https://movie.douban.com/subject/20441632/	18317
5	[詹妮弗·提莉, 吉娜·格申, 乔·潘托里亚诺, 约翰·P.瑞安, 克里斯托弗·米洛尼]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p794569169.jpg	1292449	True	False	44	[8.2, 40]	[美国]	1996-10-04	8.2	惊世狂花	[剧情, 犯罪, 惊悚, 同性]	https://movie.douban.com/subject/1292449/	15363
7	[德克·博加德, 诺拉·里奇, 马里莎·贝伦森, 凯荷·安德烈, 伯恩·安德森, 西尔瓦娜·曼加诺, 佛朗哥·法布里齐]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1443618590.jpg	1300912	False	False	45	[8.2, 40]	[意大利, 法国]	1971-03-01	8.2	魂断威尼斯	[剧情, 同性]	https://movie.douban.com/subject/1300912/	11394
15	[梅拉·沙尔, Martin Walsh, Steven M. Martin, Andrew Fraser, John Savage, 斯考特·尼尔, 格伦·贝里, Julie Smith, 林达亨利, Jeillo Edwards, Tameka Empson, Anna Karen, Garry Cooper, 本·丹尼尔斯, Daniel Bowers]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2456957300.jpg	1300426	False	False	46	[8.2, 45]	[英国]	1996-06-21	8.2	愈爱愈美丽	[剧情, 喜剧, 爱情, 同性]	https://movie.douban.com/subject/1300426/	7484
3	[雨果·维文, 盖·皮尔斯, 特伦斯·斯坦普]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1196536905.jpg	1292345	False	False	47	[8.2, 45]	[澳大利亚, 英国]	1994-08-10	8.2	沙漠妖姬	[剧情, 喜剧, 同性, 音乐]	https://movie.douban.com/subject/1292345/	4770
9	[瓦妮莎·雷德格瑞夫, 米歇尔·威廉姆斯, 科洛·塞维尼, 莎朗·斯通, 艾伦·德杰尼勒斯, 雷吉娜·金, 雪莉·麦克雷恩, 保罗·吉亚玛提, 玛丽安·塞尔德斯]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p2324165968.jpg	1308965	False	False	48	[8.2, 45]	[美国]	2000-03-05	8.2	为你钟情2	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1308965/	3920
6	[伯恩·谢尔曼, Eric Ericson, 亞當·隆格倫 Adam Lundgren, Tova Magnusson-Norling, André Wickström, Sten Ljunggren]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1131212942.jpg	5156574	False	False	49	[8.2, 40]	[瑞典]	2010-11-06	8.2	再过四年	[剧情, 同性]	https://movie.douban.com/subject/5156574/	3729
6	[白冰冰, 吴慷仁, 王曈, 吴震亚, 邱安忱, 周贤忠]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2219113072.jpg	25757182	False	False	50	[8.2, 40]	[台湾]	2013-05-12	8.2	那天妈妈来看我	[剧情, 同性, 家庭]	https://movie.douban.com/subject/25757182/	1340
5	[莱昂纳多·迪卡普里奥, 大卫·休里斯, 罗曼娜·波琳热, 多米尼克·布兰科, Felicie Pasotti Cabarbaye]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2283025640.jpg	1297233	False	False	51	[8.1, 40]	[英国, 法国, 比利时]	1995-11-03	8.1	心之全蚀	[剧情, 传记, 爱情, 同性]	https://movie.douban.com/subject/1297233/	35414
4	[希拉里·斯万克, 科洛·塞维尼, 彼得·萨斯加德, 布兰登·萨克斯顿]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1526525011.jpg	1300528	True	False	52	[8.1, 40]	[美国]	1999-09-02	8.1	男孩别哭	[剧情, 爱情, 犯罪, 同性]	https://movie.douban.com/subject/1300528/	30436
9	[杨振君, 叶兰, 粱有忠, 杜天光, 梁存英, 王素珍, 杭忠训, 王进德, 陈秀兰]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p773609121.jpg	4946963	False	False	53	[8.1, 40]	[中国大陆]	2011-12-14	8.1	光棍儿	[剧情, 喜剧, 同性]	https://movie.douban.com/subject/4946963/	23704
4	[汤姆·库伦, 克里斯·钮, Laura Freeman, Vauxhall Jermaine]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1398423664.jpg	6024430	False	False	54	[8.1, 40]	[英国]	2011-11-04	8.1	周末时光	[剧情, 爱情, 同性]	https://movie.douban.com/subject/6024430/	18525
11	[多米尼克·库珀, 拉塞尔·托维, 理查德·格雷弗斯, 斯蒂芬·坎贝尔·莫尔, 克里夫·梅利森, Samuel Anderson, 詹姆斯·柯登, 弗朗西斯·德·拉·图瓦, Andrew Knott, 杰米·帕克, 塞缪尔·巴奈特]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p454017789.jpg	1871817	True	False	55	[8.1, 40]	[英国]	2006-10-13	8.1	历史系男生	[剧情, 喜剧, 同性]	https://movie.douban.com/subject/1871817/	15264
5	[古斯塔·斯卡斯加德, 托克尔·彼特森, 托马斯·柳恩格曼, 安妮卡·哈林, Amanda Davin]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2365512421.jpg	3243344	False	False	56	[8.1, 40]	[瑞典]	2008-09-12	8.1	养子十五岁	[剧情, 喜剧, 同性]	https://movie.douban.com/subject/3243344/	13670
15	[查克 布劳姆, 亚当·尼尔·史密斯, Ethel Lung, John S. Boles, Margaret Lake, Tiffany Vollmer, Angela Gerardo, 亚历山德罗·卡萨, Clementina Plasencia, Carla Adami, Shelley Fisher, Autumn Antal, Frederick Anthony, Myrtle Andrews, Cole D. Croghan]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p523684897.jpg	2971730	False	False	57	[8.1, 40]	[美国]	2008-12-05	8.1	你好，再见	[剧情, 爱情, 同性]	https://movie.douban.com/subject/2971730/	11957
6	[米歇尔·寇特, 马克-安德烈·格隆丁, Danielle Proulx, Émile Vallée, Pierre-Luc Brillant, Mariloup Wolfe]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p490646072.jpg	1456503	False	False	58	[8.1, 40]	[加拿大]	2005-05-27	8.1	爱疯狂	[剧情, 同性, 家庭]	https://movie.douban.com/subject/1456503/	5172
5	[欧塞维奥·庞塞拉, 卡门·毛拉, 安东尼奥·班德拉斯, Miguel Molina, 费尔南多·古林]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p1958673368.jpg	1300951	False	False	59	[8.1, 40]	[西班牙]	1987-03-05	8.1	欲望法则	[剧情, 爱情, 同性]	https://movie.douban.com/subject/1300951/	3492
11	[尼吉尔·特瑞, 肖恩·宾, 德克斯特·弗莱彻, 斯宾塞·雷伊, 蒂尔达·斯文顿, 奈杰尔·达文波特, 罗彼·考特拉尼, 迈克尔·高夫, 杰克·布里凯特, 伊莫金·克莱尔, Sadie Corre]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p866894011.jpg	1294048	False	False	60	[8.1, 40]	[英国]	1986-08-29	8.1	卡拉瓦乔	[剧情, 传记, 同性]	https://movie.douban.com/subject/1294048/	3181
5	[威廉·赫特, 劳尔·朱力亚, 索尼娅·布拉加, José Lewgoy, 米尔顿·哥恩卡维斯]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p1072792190.jpg	1299879	False	False	61	[8.1, 40]	[美国, 巴西]	1985-07-26	8.1	蜘蛛女之吻	[剧情, 同性]	https://movie.douban.com/subject/1299879/	3051
2	[拉里·苏利文, 史蒂夫·博朗]	同性	https://img1.doubanio.com/view/movie_poster_cover/mpst/public/p918415208.jpg	1794073	False	False	62	[8.1, 40]	[美国]	2002-05-05	8.1	旅程	[剧情, 喜剧, 爱情, 同性]	https://movie.douban.com/subject/1794073/	2937
2	[Nicholas J. Ainsworth, Kelly Donohue]	同性	https://img3.doubanio.com/view/movie_poster_cover/mpst/public/p2494723863.jpg	27102542	False	False	63	[8.1, 40]	[美国]	2017-06-01	8.1	心跳无限次	[爱情, 动画, 同性]	https://movie.douban.com/subject/27102542/	2446
